atr_mult,equity_stop,max_open,vol_block,rebound,dd_pause_bars,atr_fast,e_final,e_dd,e_months,e_yup,e_tpy,e_peak,e_ruin
4.5,35.0,20,0.8,0.45,10,15,1528.3237868382037,26.246408213605854,55.947136563876654,18,343.7368421052632,8,False
4.5,35.0,20,0.8,0.65,10,15,3182.643074719021,24.878373484283088,72.68722466960352,19,288.2631578947368,13,False
4.5,35.0,20,1.0,0.45,10,15,1407.6547559440387,37.28326370933045,54.62555066079295,16,397.6842105263158,7,False
4.5,35.0,20,1.0,0.65,10,15,2134.375953952229,38.617575292709304,60.352422907488986,19,332.5263157894737,7,False
4.5,60.0,10,0.8,0.45,10,15,2321.5986575924026,29.079234344959836,60.352422907488986,17,242.42105263157896,7,False
4.5,60.0,10,0.8,0.65,10,15,3276.0755256492685,30.021892005645856,68.28193832599119,19,189.21052631578948,7,False
4.5,60.0,10,1.0,0.45,10,15,1384.9294106456343,31.81094908065014,56.38766519823789,15,330.1578947368421,7,False
4.5,60.0,10,1.0,0.65,10,15,2211.209717014192,38.14923545784325,61.67400881057269,19,245.8421052631579,6,False
4.5,60.0,20,0.8,0.45,10,15,2087.1637495004097,32.01146704890031,55.947136563876654,17,340.05263157894734,9,False
4.5,60.0,20,0.8,0.65,10,15,3353.449936344922,43.89831929391398,66.96035242290749,17,269.94736842105266,9,False
4.5,60.0,20,1.0,0.45,10,15,1048.0641126248993,54.85876927261288,51.10132158590308,14,392.4736842105263,7,False
4.5,60.0,20,1.0,0.65,10,15,1856.148992700999,66.48456911938695,59.91189427312775,18,307.42105263157896,6,False
5.4,10.0,10,0.8,0.45,10,15,2199.9970997677547,16.513564060849742,77.09251101321586,19,230.42105263157896,7,False
5.4,10.0,10,0.8,0.65,10,15,2431.6566800623787,9.49805443395278,80.61674008810573,19,194.3684210526316,5,False
5.4,10.0,10,1.0,0.45,10,15,1334.2471142307743,10.962213145484814,67.84140969162996,19,283.94736842105266,5,False
5.4,10.0,10,1.0,0.65,10,15,2385.14939891115,11.84133162727276,79.73568281938326,19,227.52631578947367,5,False
5.4,10.0,20,0.8,0.45,10,15,1938.8037034540814,13.859021892022694,81.05726872246696,19,270.2105263157895,7,False
5.4,10.0,20,0.8,0.65,10,15,2651.8742842557667,10.769252190240158,81.93832599118943,19,232.94736842105263,8,False
5.4,10.0,20,1.0,0.45,10,15,1383.3121594505742,12.496213915022986,70.04405286343612,19,300.10526315789474,9,False
5.4,10.0,20,1.0,0.65,10,15,2261.5650371529086,11.699414069587515,77.5330396475771,19,248.26315789473685,6,False
5.4,20.0,10,0.8,0.45,10,15,2044.2136312387963,19.89029820106218,67.40088105726872,19,216.47368421052633,6,False
5.4,20.0,10,0.8,0.65,10,15,2991.2210481068996,13.895269091709237,74.00881057268722,19,170.47368421052633,6,False
5.4,20.0,10,1.0,0.45,10,15,1548.2430837911577,23.59576945085794,62.55506607929515,18,270.42105263157896,5,False
5.4,20.0,10,1.0,0.65,10,15,1802.071926693339,20.633423554888104,63.436123348017624,19,220.78947368421052,5,False
5.4,20.0,20,0.8,0.45,10,15,2272.7645157967286,20.56765228842437,72.68722466960352,19,276.94736842105266,8,False
5.4,20.0,20,0.8,0.65,10,15,2594.3361309840434,20.645858756444333,69.60352422907489,19,214.57894736842104,8,False
5.4,20.0,20,1.0,0.45,10,15,1286.367473241732,29.063467807215037,61.23348017621145,17,289.7368421052632,6,False
5.4,20.0,20,1.0,0.65,10,15,2376.405939258308,22.32882273553123,69.16299559471366,19,241.3684210526316,6,False
5.4,35.0,10,0.8,0.45,10,15,2004.0187862362864,32.11695694213871,65.63876651982379,19,195.21052631578948,6,False
5.4,35.0,10,0.8,0.65,10,15,2502.9895563186324,19.386276142183647,68.28193832599119,19,166.42105263157896,7,False
5.4,35.0,10,1.0,0.45,10,15,1849.621020264731,23.420016180273056,59.91189427312775,18,255.26315789473685,5,False
5.4,35.0,10,1.0,0.65,10,15,2127.0236782792244,25.302684973032395,61.67400881057269,17,196.26315789473685,5,False
5.4,35.0,20,0.8,0.45,10,15,2597.2028500275724,36.913106815861035,63.87665198237885,18,266.6842105263158,8,False
5.4,35.0,20,0.8,0.65,10,15,2493.0326285988563,35.2936960784626,66.96035242290749,18,211.52631578947367,9,False
